VEHICLE_TYPE,RTO_REGION,REGISTRATIONS,YEAR,MONTH,,,,,
Trucks and Lorries,BNG SOUTH,22818,2020,JULY,,,,,
Trucks and Lorries,KR Puram,10349,2020,JULY,,,,,
Trucks and Lorries,Jnana Bharati,6809,2020,JULY,,,,,
Trucks and Lorries,Electronic City,16685,2020,JULY,,,,,
Trucks and Lorries,Yelahanka,6096,2020,JULY,,,,,
Trucks and Lorries,Devanahalli,4100,2020,JULY,,,,,
Trucks and Lorries,Chandapura,8686,2020,JULY,,,,,
Light Goods Four Wheeler,BNG CENTRAL,18351,2020,JULY,,,,,
Light Goods Four Wheeler,BNG WEST,15843,2020,JULY,,,,,
Light Goods Four Wheeler,BNG EAST,9514,2020,JULY,,,,,
Light Goods Four Wheeler,BNG NORTH,16179,2020,JULY,,,,,
Light Goods Four Wheeler,BNG SOUTH,24946,2020,JULY,,,,,
Light Goods Four Wheeler,KR Puram,17803,2020,JULY,,,,,
Light Goods Four Wheeler,Jnana Bharati,12591,2020,JULY,,,,,
Light Goods Four Wheeler,Electronic City,24514,2020,JULY,,,,,
Light Goods Four Wheeler,Yelahanka,6975,2020,JULY,,,,,
Light Goods Four Wheeler,Devanahalli,5054,2020,JULY,,,,,
Light Goods Four Wheeler,Chandapura,15563,2020,JULY,,,,,
Light Goods Three Wheeler,BNG CENTRAL,9020,2020,JULY,,,,,
Light Goods Three Wheeler,BNG WEST,15446,2020,JULY,,,,,
Light Goods Three Wheeler,BNG EAST,6679,2020,JULY,,,,,
Light Goods Three Wheeler,BNG NORTH,6089,2020,JULY,,,,,
Light Goods Three Wheeler,BNG SOUTH,11296,2020,JULY,,,,,
Light Goods Three Wheeler,KR Puram,2158,2020,JULY,,,,,
Light Goods Three Wheeler,Jnana Bharati,4505,2020,JULY,,,,,
Light Goods Three Wheeler,Electronic City,3051,2020,JULY,,,,,
Light Goods Three Wheeler,Yelahanka,1111,2020,JULY,,,,,
Light Goods Three Wheeler,Devanahalli,739,2020,JULY,,,,,
Light Goods Three Wheeler,Chandapura,815,2020,JULY,,,,,
Multi Axled Articulated Vehicle,BNG CENTRAL,10922,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,BNG WEST,304,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,BNG EAST,727,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,BNG NORTH,258,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,BNG SOUTH,662,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,KR Puram,589,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,Jnana Bharati,106,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,Electronic City,1008,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,Yelahanka,15,2020,AUGUST,,,,,
Multi Axled Articulated Vehicle,Devanahalli,57,2020,AUGUST,,,,,
